codigo,univComp
20010101,7
20010201,4
20010202,2
20010203,1
20010204,0
20010205,1
20010206,1
20010207,2
20010208,2
20010209,2
20010210,1
20010211,2
20010212,3
20010213,5
20010214,6
20010215,3
20010216,10
20010217,4
20010218,3
20010219,1
20010301,1
20010302,3
20010303,2
20010304,4
20010305,2
20010306,6
20010307,1
20010308,3
20010309,6
20010310,3
20010311,4
20010312,2
20010313,4
20010314,2
20010315,3
20010316,3
20010317,0
20010318,4
20010319,4
20010320,1
20010321,2
20010322,2
20010323,3
20010401,219
20010402,217
20010403,169
20010404,264
20010405,151
20010406,211
20010407,194
20010408,171
20010501,135
20010502,107
20010503,178
20010504,228
20010505,115
20010506,176
20010507,123
20010601,170
20010602,116
20010603,253
20010604,222
20010605,75
20010606,132
20010607,107
20010608,124
20010609,219
20010610,91
20010701,114
20010702,55
20010703,45
20010704,105
20010705,55
20010706,24
20010707,77
20010708,77
20010709,59
20010710,73
20010711,53
20010712,56
20010713,17
20010801,63
20010802,212
20010803,187
20010804,106
20010805,63
20010806,229
20010807,239
20010808,74
20010809,104
20010810,59
20010901,57
20010902,31
20010903,65
20010904,38
20010905,42
20010906,34
20010907,80
20010908,43
20010909,69
20010910,30
20010911,38
20010912,25
20010913,101
20010914,22
20010915,14
20010916,48
20010917,44
20010918,63
20010919,10
20011001,49
20011002,104
20011003,166
20011004,95
20011005,88
20011006,103
20011007,32
20011008,38
20011009,37
20011010,80
20011011,107
20011012,90
20011013,100
20011014,20
20011101,50
20011102,67
20011103,21
20011104,94
20011105,54
20011106,54
20011107,79
20011108,102
20011109,62
20011110,65
20011111,18
20011112,103
20011113,86
20011114,84
20011201,27
20011202,39
20011203,63
20011204,24
20011205,72
20011206,39
20011207,63
20011208,31
20011209,81
20011210,29
20011211,32
20011212,22
20011301,77
20011302,42
20011303,8
20011304,74
20011305,93
20011306,62
20011307,146
20011308,77
20011309,95
20011310,137
20011311,70
20011312,80
20011313,56
20011314,24
20011315,0
20011401,55
20011402,16
20011403,36
20011404,11
20011405,35
20011406,62
20011407,56
20011408,28
20011409,41
20011410,75
20011411,61
20011412,56
20011501,39
20011502,59
20011503,76
20011504,131
20011505,34
20011506,58
20011507,55
20011508,43
20011509,64
20011510,53
20011511,44
20011601,28
20011602,33
20011603,93
20011604,86
20011605,36
20011606,44
20011607,100
20011608,51
20011609,48
20011610,73
20011611,47
20011612,25
20011701,70
20011702,67
20011703,54
20011704,54
20011705,64
20011706,64
20011707,53
20011708,39
20011709,30
20011710,57
20011711,43
20011801,76
20011802,90
20011803,33
20011804,56
20011805,54
20011806,78
20011807,53
20011808,60
20011809,74
20011901,72
20011902,95
20011903,36
20011904,53
20011905,51
20011906,26
20011907,49
20011908,16
20011909,44
20012001,50
20012002,40
20012003,41
20012004,55
20012005,56
20012006,59
20012007,31
20012008,25
20012009,32
20012010,37
20012101,37
20012102,47
20012103,22
20012104,64
20012105,45
20012106,35
20012107,45
20012108,43
20012109,50
20012110,76
20012201,72
20012202,76
20012203,77
20012204,38
20012205,40
20012206,68
20012207,48
20012208,37
20012209,70
20012210,101
20012301,66
20012302,51
20012303,96
20012304,27
20012305,46
20012306,42
20012307,36
20012308,82
20012309,82
20012310,30
20012401,19
20012402,35
20012403,43
20012404,35
20012405,34
20012406,88
20012407,69
20012408,39
20012501,52
20012502,52
20012503,56
20012504,83
20012505,54
20012506,72
20012507,45
20012508,74
20012509,25
20012510,45
20012511,78
20012601,38
20012602,69
20012603,51
20012604,61
20012605,61
20012606,48
20012607,26
20012608,37
20012609,68
20012701,37
20012702,19
20012703,17
20012704,16
20012705,26
20012706,11
20012707,22
20012708,32
20012709,40
20012710,64
20012801,19
20012802,31
20012803,23
20012804,53
20012805,34
20012806,16
20012807,37
20012808,16
20012809,17
20012810,24
20012811,16
20012812,16
20012813,34
20012901,38
20012902,12
20012903,15
20012904,33
20012905,33
20012906,91
20012907,38
20012908,16
20012909,36
20020101,0
20020102,1
20020201,99
20020202,191
20020203,123
20020204,99
20020205,115
20020206,74
20020207,66
20020208,144
20020301,170
20020302,167
20020303,45
20020304,86
20020305,139
20020306,109
20020307,183
20020308,132
20020401,138
20020402,45
20020403,80
20020404,79
20020405,137
20020406,99
20020407,105
20020408,217
20020409,168
20020410,196
20020501,112
20020502,158
20020503,122
20020504,108
20020505,144
20020506,161
20020507,163
20020508,140
20020509,117
20020601,87
20020602,275
20020603,122
20020604,173
20020605,73
20020606,122
20020607,84
20020608,84
20020609,113
20020610,89
20020701,269
20020702,227
20020703,169
20020704,131
20020705,110
20020706,122
20020707,178
20020708,58
20020709,97
20020801,135
20020802,138
20020803,188
20020804,210
20020805,166
20020806,251
20020807,323
20020808,170
20020901,170
20020902,96
20020903,197
20020904,226
20020905,206
20020906,179
20020907,206
20020908,269
20020909,213
20021001,200
20021002,143
20021003,89
20021004,154
20021005,147
20021006,150
20021007,188
20021008,182
20021009,115
20021101,266
20021102,101
20021103,298
20021104,281
20021105,54
20021106,114
20021201,191
20021202,167
